计算文件哈希值
hash,size,count,files
2ee41112a44fe7014dce33e26468ba93,10174,2,.venv/lib/python3.13/site-packages/packaging-25.0.dist-info/licenses/LICENSE.APACHE|.venv/lib/python3.13/site-packages/coverage-7.8.2.dist-info/licenses/LICENSE.txt
128f39361500fcc1dcaefd721a400356,10125,2,.venv/lib/python3.13/site-packages/platformdirs/windows.py|.venv/lib/python3.13/site-packages/pip/_vendor/platformdirs/windows.py
8137604ece1bea63d9bc197e2d1faa57,10031,2,.venv/lib/python3.13/site-packages/pygments/util.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/util.py
658ed2fdbf80a1f27b07a37d164eb49b,9655,2,.venv/lib/python3.13/site-packages/rich/_inspect.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/_inspect.py
46426bd482848dbd15d36e0807583368,9596,2,.venv/lib/python3.13/site-packages/packaging/_manylinux.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/_manylinux.py
4873a5946938178bc47def72f6021bb3,9586,2,.venv/lib/python3.13/site-packages/rich/highlighter.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/highlighter.py
8337f99effafca4ee834e11b6e26aa49,9277,2,.venv/lib/python3.13/site-packages/platformdirs/api.py|.venv/lib/python3.13/site-packages/pip/_vendor/platformdirs/api.py
4d7d8fbd0cfc9de62d8e6317079fe2f9,9013,2,.venv/lib/python3.13/site-packages/platformdirs/android.py|.venv/lib/python3.13/site-packages/pip/_vendor/platformdirs/android.py
8285ae9f3a2652fbb7ffb8575590d91f,9004,2,htmlcov/keybd_closed_cb_ce680311.png|.venv/lib/python3.13/site-packages/coverage/htmlfiles/keybd_closed.png
e93b531bf5614c90b8279357f6974b9d,8162,2,.venv/lib/python3.13/site-packages/rich/progress_bar.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/progress_bar.py
d32c7ef426f5ef568db7f6fa3acaae07,7131,2,.venv/lib/python3.13/site-packages/rich/columns.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/columns.py
e16fbfbe318c86c37b7730154d2d2ce8,7063,2,.venv/lib/python3.13/site-packages/rich/_palettes.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/_palettes.py
ef16bac3bdd4423f47a3d7bd41ba0a5b,6921,2,.venv/lib/python3.13/site-packages/rich/ansi.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/ansi.py
ad3e6e647b23b98387ffe0738d965615,6449,2,.venv/lib/python3.13/site-packages/requests/api.py|.venv/lib/python3.13/site-packages/pip/_vendor/requests/api.py
ec3709fda9fa835f39567afc8a9ccbd5,6226,2,.venv/lib/python3.13/site-packages/pygments/token.py|.venv/lib/python3.13/site-packages/pip/_vendor/pygments/token.py
d57523d85c284a26e794098ac0e6f249,6154,2,.venv/lib/python3.13/site-packages/platformdirs/macos.py|.venv/lib/python3.13/site-packages/pip/_vendor/platformdirs/macos.py
eb43fe0936b0da7e7652db5000d7255d,5502,2,.venv/lib/python3.13/site-packages/rich/containers.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/containers.py
7427bbe1d95a0b572c9f11d0104410e9,5494,2,tests/test_text_replace.py|sandbox/临时tests备份/test_text_replace.py
58bff3ae79b26a93d63f3a9429d70860,5310,2,.venv/lib/python3.13/site-packages/packaging/_tokenizer.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/_tokenizer.py
9a85d7d329b3550929e01d7b08f6ab05,5305,2,.venv/lib/python3.13/site-packages/rich/measure.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/measure.py
ce4634500dce01103de205608249e409,5164,2,.venv/lib/python3.13/site-packages/distlib/markers.py|.venv/lib/python3.13/site-packages/pip/_vendor/distlib/markers.py
811f5d5eaa1c4a05755944b6ac9e6ab6,5130,2,.venv/lib/python3.13/site-packages/rich/cells.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/cells.py
f6d73a168977560761887d65c7e9ed18,5050,2,.venv/lib/python3.13/site-packages/packaging/utils.py|.venv/lib/python3.13/site-packages/pip/_vendor/packaging/utils.py
c57686661ad0dad3bff2c8a1996528aa,4443,2,.venv/lib/python3.13/site-packages/_virtualenv.py|.venv/lib/python3.13/site-packages/virtualenv/create/via_global_ref/_virtualenv.py
d89f3ca447cfa4ee5ad60921701f0b74,4424,2,.venv/lib/python3.13/site-packages/rich/status.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/status.py
2ad847c3891bd2dcad90770617c17425,4364,2,.venv/lib/python3.13/site-packages/rich/spinner.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/spinner.py
a5e303e512b9548db88263894ab73fd7,4322,2,.venv/lib/python3.13/site-packages/requests/status_codes.py|.venv/lib/python3.13/site-packages/pip/_vendor/requests/status_codes.py
75b034b791db82c44433d5f0e25287a8,4176,2,.venv/lib/python3.13/site-packages/pip/_vendor/pygments/formatters/_mapping.py|.venv/lib/python3.13/site-packages/pygments/formatters/_mapping.py
e8dd87151f2dc1d609c2a6cc7f29c47f,3771,2,.venv/lib/python3.13/site-packages/rich/theme.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/theme.py
b614125ddb5e1b24ab840c505ab880b6,3586,2,tests/test_smart_interactive.py|sandbox/临时tests备份/test_smart_interactive.py
abcf05aec6db6b1dcef409433f57fcd2,3422,2,.venv/lib/python3.13/site-packages/idna/codec.py|.venv/lib/python3.13/site-packages/pip/_vendor/idna/codec.py
440510bfdf54e59b40ae3d34537ea429,3404,2,.venv/lib/python3.13/site-packages/rich/_wrap.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/_wrap.py
26697a919bf9b0eed369a89647145303,3370,2,.venv/lib/python3.13/site-packages/rich/terminal_theme.py|.venv/lib/python3.13/site-packages/pip/_vendor/rich/terminal_theme.py
a279da650c5d1ae77a183e416e8d3bae,3312,2,.venv/lib/python3.13/site-packages/pip/_vendor/pygments/styles/_mapping.py|.venv/lib/python3.13/site-packages/pygments/styles/_mapping.py
